u,v,name_clean,highway,length,oneway,lanes_manual,Rx_manual,maxspeed_manual_kmh,has_signal_end,u_lat,u_lon,v_lat,v_lon
2782911401,2782911407,Avenue du Renouveau,secondary,49.12,False,2,,50,0,6.3907256,2.3980692,6.3907405,2.3976249
2782911407,2782911411,Avenue du Renouveau,secondary,51.47,False,2,,50,0,6.3907405,2.3976249,6.3907707,2.3971601
2782911411,2782911412,Avenue du Renouveau,secondary,41.69,False,2,,50,0,6.3907707,2.3971601,6.3907822,2.396783
2782911412,2505170007,Avenue du Renouveau,secondary,31.49,False,2,,50,0,6.3907822,2.396783,6.390784,2.396498
2505170007,2771966887,Avenue du Renouveau,secondary,46.55,False,2,,50,0,6.390784,2.396498,6.3907905,2.3960768
2771966887,2771966889,Avenue du Renouveau,secondary,65.83,False,2,,50,0,6.3907905,2.3960768,6.3908158,2.3954816
2771966889,5836467512,Avenue du Renouveau,secondary,13.06,False,2,,50,0,6.3908158,2.3954816,6.3908152,2.3953634
5836467512,2483237661,Avenue du Renouveau,secondary,96.49,False,2,,50,0,6.3908152,2.3953634,6.3908401,2.3944906
2505169998,2771974404,Avenue du Renouveau,secondary,23.16,True,1,,50,0,6.3902302,2.4008739,6.3901009,2.4010382
2771974404,5836343808,Avenue du Renouveau,secondary,33.52,True,1,,50,0,6.3901009,2.4010382,6.3899346,2.4012912
3270533372,3270577992,Unknown,trunk,80.61,True,2,,50,0,6.3855587,2.3737153,6.3851839,2.3743397
3270577992,3634757300,Unknown,trunk,26.4,True,2,,50,0,6.3851839,2.3743397,6.3850768,2.3745529
3634757300,3634757993,Unknown,trunk,22.34,True,2,,50,0,6.3850768,2.3745529,6.3849941,2.3747371
3634757993,5953693222,Unknown,trunk,22.91,True,2,,50,0,6.3849941,2.3747371,6.3849146,2.3749284
5953693222,877155442,Unknown,trunk,17.78,True,2,,50,0,6.3849146,2.3749284,6.3848577,2.3750788
877155442,330788460,Unknown,trunk,212.05,True,2,,50,0,6.3848577,2.3750788,6.3841732,2.3768698
330788460,5953693221,Unknown,trunk,24.1,True,2,,50,0,6.3841732,2.3768698,6.3840816,2.3770675
5953693221,5896209796,Unknown,trunk,25.25,True,2,,50,0,6.3840816,2.3770675,6.3839764,2.37727
5896209796,5953693220,Unknown,trunk,20.03,True,2,,50,0,6.3839764,2.37727,6.3838777,2.3774216
5953693220,5896208981,Unknown,trunk,27.99,True,2,,50,0,6.3838777,2.3774216,6.3837338,2.3776294
5896208981,2488243394,Unknown,trunk,40.69,True,2,,50,0,6.3837338,2.3776294,6.3835121,2.3779224
2488243394,877155455,Unknown,trunk,38.96,True,2,,50,0,6.3835121,2.3779224,6.3832665,2.3781738
5887788709,4452036408,Rue 150,secondary,164.41,True,2,,50,0,6.3842123,2.4159675,6.3832941,2.4148014
4452036408,4452035849,Rue 150,secondary,190.65,True,2,,50,0,6.3832941,2.4148014,6.3822166,2.4134594
4452035849,4452035844,Rue 150,secondary,314.0,True,2,,50,0,6.3822166,2.4134594,6.3804543,2.4112392
4452035844,4452035840,Rue 150,secondary,168.42,True,2,,50,0,6.3804543,2.4112392,6.3794995,2.4100561
4452035840,5892666649,Rue 150,secondary,177.31,True,2,,50,0,6.3794995,2.4100561,6.378531,2.4087814
5892666649,4452035839,Rue 150,secondary,189.84,True,2,,50,0,6.378531,2.4087814,6.3774494,2.4074522
4452035839,5892636950,Rue 150,secondary,226.71,True,2,,50,0,6.3774494,2.4074522,6.3761847,2.405843
5892636950,4618263328,Rue 150,secondary,130.62,True,2,,50,0,6.3761847,2.405843,6.3754531,2.4049182
5137088772,2772038833,Avenue du Renouveau,secondary,17.35,False,2,,50,0,6.3846779,2.4058881,6.3845886,2.4060169
2772038833,2772106589,Avenue du Renouveau,secondary,71.24,False,2,,50,0,6.3845886,2.4060169,6.3840882,2.4064195
2772106589,2773924525,Avenue du Renouveau,secondary,63.26,False,2,,50,0,6.3840882,2.4064195,6.383643,2.4067759
2773924525,2773924522,Avenue du Renouveau,secondary,64.59,False,2,,50,0,6.383643,2.4067759,6.3831809,2.40713
2773924522,2773924519,Avenue du Renouveau,secondary,66.65,False,2,,50,0,6.3831809,2.40713,6.3827186,2.4075139
2773924519,2772106579,Avenue du Renouveau,secondary,66.43,False,2,,50,0,6.3827186,2.4075139,6.3822596,2.4078987
2772106579,2772106565,Avenue du Renouveau,secondary,195.1,False,2,,50,0,6.3822596,2.4078987,6.3808688,2.408975
2772106565,5953770138,Avenue du Renouveau,secondary,24.7,False,2,,50,0,6.3808688,2.408975,6.3806965,2.4091161
5953770138,2772106538,Avenue du Renouveau,secondary,37.97,False,2,,50,0,6.3806965,2.4091161,6.38043,2.4093309
2772106538,2772106533,Avenue du Renouveau,secondary,68.97,False,2,,50,0,6.38043,2.4093309,6.3799466,2.409722
2772106533,4452035840,Avenue du Renouveau,secondary,61.92,False,2,,50,0,6.3799466,2.409722,6.3794995,2.4100561
5892666649,5892666648,Unknown,secondary_link,16.72,False,2,,50,0,6.378531,2.4087814,6.3784123,2.4088743
2783251371,1569336272,Rue 150,secondary,16.38,True,1,,50,1,6.3752976,2.4049191,6.3753796,2.4050422
4618263328,4452035836,Rue 150,secondary,15.96,True,1,,50,0,6.3754531,2.4049182,6.3753717,2.4047992
